Epoch Time,x,y,z
1717694302.7573075,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694302.7673464,-391.37261885183824,-391.34926266140405,-391.3609186808268
1717694302.7773855,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694302.7874243,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694302.7974634,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694302.8075025,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694302.8175414,-391.3609186808268,-391.34926266140405,-391.34926266140405
1717694302.8275805,-391.3609186808268,-391.37261885183824,-391.34926266140405
1717694302.8376193,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694302.8476584,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694302.8576975,-391.37261885183824,-391.37261885183824,-391.3609186808268
1717694302.8677363,-391.37261885183824,-391.37261885183824,-391.3609186808268
1717694302.8777754,-391.3609186808268,-391.37261885183824,-391.37261885183824
1717694302.8878143,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717694302.8978534,-391.3609186808268,-391.34926266140405,-391.37261885183824
1717694302.9078925,-391.37261885183824,-391.34926266140405,-391.37261885183824
1717694302.9179313,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717694302.9279704,-391.37261885183824,-391.3609186808268,-391.34926266140405
1717694302.9380093,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694302.9480484,-391.3609186808268,-391.34926266140405,-391.3609186808268
1717694302.9580874,-391.34926266140405,-391.3609186808268,-391.34926266140405
1717694302.9681263,-391.37261885183824,-391.37261885183824,-391.3609186808268
1717694302.9781654,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694302.9882042,-391.3609186808268,-391.34926266140405,-391.3609186808268
1717694302.9982433,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694303.0082822,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694303.0183213,-391.37261885183824,-391.37261885183824,-391.37261885183824
1717694303.0283604,-391.3609186808268,-391.34926266140405,-391.34926266140405
1717694303.0383992,-391.3609186808268,-391.37261885183824,-391.34926266140405
1717694303.0484383,-391.3609186808268,-391.34926266140405,-391.34926266140405
1717694303.0584772,-391.37261885183824,-391.34926266140405,-391.3609186808268
1717694303.0685163,-391.34926266140405,-391.3609186808268,-391.37261885183824
1717694303.0785553,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694303.0885942,-391.37261885183824,-391.3609186808268,-391.34926266140405
1717694303.0986333,-391.3609186808268,-391.3609186808268,-391.34926266140405
1717694303.1086721,-391.37261885183824,-391.37261885183824,-391.3609186808268
1717694303.1187112,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694303.1287503,-391.3609186808268,-391.3609186808268,-391.34926266140405
1717694303.1387892,-391.37261885183824,-391.3609186808268,-391.34926266140405
1717694303.1488283,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717694303.1588671,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694303.1689062,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717694303.1789453,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694303.1889842,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694303.1990232,-391.3609186808268,-391.34926266140405,-391.3609186808268
